'attr_id1','attr_id2','schema_matching_similarity_score'
100,102,0.95
100,105,0.72
100,106,0.76
100,108,0.76
100,116,0.7
100,117,0.59
336,413,0.84
336,478,0.84
413,478,0.84
101,480,0.86
109,480,0.59
110,480,0.6
112,480,0.74
113,480,0.74
118,480,0.61
119,480,0.67
101,483,0.76
112,483,0.66
113,483,0.55
114,483,0.64
103,486,0.69
105,486,0.84
108,486,0.81
116,486,0.59
117,486,0.81
103,487,0.84
105,487,0.69
107,487,0.68
108,487,0.61
116,487,0.54
117,487,0.81
103,488,0.51
117,488,0.56
111,489,0.57
115,489,0.69
108,490,0.58
111,490,0.52
115,490,0.79
116,490,0.58
115,491,0.51
110,492,0.54
490,492,0.61
336,498,0.84
413,498,0.84
478,498,0.84
479,499,0.84
101,500,0.86
109,500,0.59
110,500,0.6
112,500,0.74
113,500,0.74
118,500,0.61
119,500,0.67
480,500,0.84
101,502,0.55
489,502,0.72
490,502,0.54
491,502,0.69
101,503,0.76
112,503,0.66
113,503,0.55
114,503,0.64
119,503,0.88
483,503,0.84
487,504,0.55
488,504,0.72
489,504,0.78
490,504,0.73
110,505,0.58
480,505,0.59
103,506,0.69
105,506,0.84
486,506,0.84
487,506,0.64
103,507,0.84
105,507,0.69
107,507,0.68
108,507,0.61
116,507,0.54
117,507,0.81
486,507,0.64
487,507,0.84
488,507,0.58
489,507,0.56
103,508,0.51
487,508,0.6
488,508,0.84
489,508,0.72
490,508,0.6
491,508,0.57
111,509,0.57
115,509,0.69
487,509,0.54
488,509,0.72
489,509,0.84
490,509,0.73
488,510,0.59
489,510,0.74
490,510,0.84
492,510,0.62
115,511,0.51
488,511,0.58
491,511,0.84
93,513,0.51
93,515,0.51
336,515,0.52
413,515,0.52
478,515,0.52
493,515,0.55
498,515,0.52
336,516,0.51
413,516,0.51
478,516,0.51
493,516,0.55
498,516,0.51
93,518,0.51
480,518,0.56
494,518,0.57
500,518,0.56
480,519,0.56
494,519,0.59
500,519,0.56
480,520,0.56
494,520,0.57
500,520,0.56
93,522,0.51
336,522,0.52
413,522,0.52
478,522,0.52
493,522,0.54
498,522,0.52
93,523,0.51
336,523,0.55
413,523,0.55
478,523,0.55
493,523,0.55
498,523,0.55
93,524,0.51
480,524,0.52
500,524,0.52
480,528,0.55
494,528,0.56
500,528,0.55
480,529,0.54
494,529,0.58
500,529,0.54
93,538,0.51
118,539,0.52
480,539,0.54
494,539,0.58
500,539,0.54
480,540,0.56
494,540,0.56
500,540,0.56
480,543,0.54
494,543,0.59
500,543,0.54
93,544,0.52
110,547,0.55
336,547,0.52
413,547,0.52
478,547,0.52
480,547,0.55
494,547,0.59
498,547,0.52
500,547,0.55
336,548,0.52
413,548,0.52
478,548,0.52
480,548,0.55
494,548,0.56
498,548,0.52
500,548,0.55
336,549,0.54
413,549,0.54
478,549,0.54
480,549,0.54
494,549,0.56
498,549,0.54
500,549,0.54
110,550,0.56
336,550,0.52
413,550,0.52
478,550,0.52
480,550,0.55
494,550,0.57
498,550,0.52
500,550,0.55
93,554,0.52
480,555,0.55
494,555,0.58
500,555,0.55
93,556,0.53
93,558,0.52
480,558,0.54
494,558,0.53
500,558,0.54
480,561,0.56
494,561,0.56
500,561,0.56
118,565,0.51
480,565,0.56
494,565,0.58
500,565,0.56
494,566,0.56
93,571,0.53
480,573,0.55
494,573,0.53
500,573,0.55
480,578,0.56
494,578,0.58
500,578,0.56
480,580,0.56
494,580,0.58
500,580,0.56
480,581,0.56
494,581,0.58
500,581,0.56
480,584,0.55
494,584,0.58
500,584,0.55
480,588,0.56
494,588,0.58
500,588,0.56
93,589,0.54
93,591,0.52
480,592,0.56
494,592,0.58
500,592,0.56
480,593,0.56
494,593,0.57
500,593,0.56
480,594,0.56
494,594,0.59
500,594,0.56
480,595,0.56
494,595,0.58
500,595,0.56
118,596,0.52
93,599,0.51
480,600,0.56
494,600,0.58
500,600,0.56
480,603,0.54
494,603,0.58
500,603,0.54
93,607,0.52
480,608,0.56
494,608,0.58
500,608,0.56
